h2_kwh_per_kg,pressure_bar,conversion,n2_recovery,electricity_usd_mwh,lcoa_usd_per_t,specific_kwh_kg,renewable_kgco2_kg,feasible
48,100,0.12,0.88,30,693.5653204560064,10.613336947788678,0.5306668473894339,True
48,100,0.12,0.88,45,852.7653746728366,10.613336947788678,0.5306668473894339,True
48,100,0.12,0.88,60,1011.9654288896669,10.613336947788678,0.5306668473894339,True
48,100,0.12,0.88,75,1171.1654831064968,10.613336947788678,0.5306668473894339,True
48,100,0.12,0.88,90,1330.365537323327,10.613336947788678,0.5306668473894339,True
48,100,0.12,0.92,30,693.5653204560064,10.613336947788678,0.5306668473894339,True
48,100,0.12,0.92,45,852.7653746728366,10.613336947788678,0.5306668473894339,True
48,100,0.12,0.92,60,1011.9654288896669,10.613336947788678,0.5306668473894339,True
48,100,0.12,0.92,75,1171.1654831064968,10.613336947788678,0.5306668473894339,True
48,100,0.12,0.92,90,1330.365537323327,10.613336947788678,0.5306668473894339,True
48,100,0.12,0.96,30,693.5653204560064,10.613336947788678,0.5306668473894339,True
48,100,0.12,0.96,45,852.7653746728366,10.613336947788678,0.5306668473894339,True
48,100,0.12,0.96,60,1011.9654288896669,10.613336947788678,0.5306668473894339,True
48,100,0.12,0.96,75,1171.1654831064968,10.613336947788678,0.5306668473894339,True
48,100,0.12,0.96,90,1330.365537323327,10.613336947788678,0.5306668473894339,True
48,100,0.16,0.88,30,680.971308472538,10.193536548339727,0.5096768274169864,True
48,100,0.16,0.88,45,833.8743566976339,10.193536548339727,0.5096768274169864,True
48,100,0.16,0.88,60,986.7774049227297,10.193536548339727,0.5096768274169864,True
48,100,0.16,0.88,75,1139.6804531478258,10.193536548339727,0.5096768274169864,True
48,100,0.16,0.88,90,1292.5835013729215,10.193536548339727,0.5096768274169864,True
48,100,0.16,0.92,30,680.971308472538,10.193536548339727,0.5096768274169864,True
48,100,0.16,0.92,45,833.8743566976339,10.193536548339727,0.5096768274169864,True
48,100,0.16,0.92,60,986.7774049227297,10.193536548339727,0.5096768274169864,True
48,100,0.16,0.92,75,1139.6804531478258,10.193536548339727,0.5096768274169864,True
48,100,0.16,0.92,90,1292.5835013729215,10.193536548339727,0.5096768274169864,True
48,100,0.16,0.96,30,680.971308472538,10.193536548339727,0.5096768274169864,True
48,100,0.16,0.96,45,833.8743566976339,10.193536548339727,0.5096768274169864,True
48,100,0.16,0.96,60,986.7774049227297,10.193536548339727,0.5096768274169864,True
48,100,0.16,0.96,75,1139.6804531478258,10.193536548339727,0.5096768274169864,True
48,100,0.16,0.96,90,1292.5835013729215,10.193536548339727,0.5096768274169864,True
48,100,0.2,0.88,30,673.4149012824569,9.941656308670357,0.49708281543351784,True
48,100,0.2,0.88,45,822.5397459125122,9.941656308670357,0.49708281543351784,True
48,100,0.2,0.88,60,971.6645905425676,9.941656308670357,0.49708281543351784,True
48,100,0.2,0.88,75,1120.789435172623,9.941656308670357,0.49708281543351784,True
48,100,0.2,0.88,90,1269.9142798026783,9.941656308670357,0.49708281543351784,True
48,100,0.2,0.92,30,673.4149012824569,9.941656308670357,0.49708281543351784,True
48,100,0.2,0.92,45,822.5397459125122,9.941656308670357,0.49708281543351784,True
48,100,0.2,0.92,60,971.6645905425676,9.941656308670357,0.49708281543351784,True
48,100,0.2,0.92,75,1120.789435172623,9.941656308670357,0.49708281543351784,True
48,100,0.2,0.92,90,1269.9142798026783,9.941656308670357,0.49708281543351784,True
48,100,0.2,0.96,30,673.4149012824569,9.941656308670357,0.49708281543351784,True
48,100,0.2,0.96,45,822.5397459125122,9.941656308670357,0.49708281543351784,True
48,100,0.2,0.96,60,971.6645905425676,9.941656308670357,0.49708281543351784,True
48,100,0.2,0.96,75,1120.789435172623,9.941656308670357,0.49708281543351784,True
48,100,0.2,0.96,90,1269.9142798026783,9.941656308670357,0.49708281543351784,True
48,100,0.24,0.88,30,668.3772964890694,9.773736148890777,0.48868680744453885,True
48,100,0.24,0.88,45,814.9833387224309,9.773736148890777,0.48868680744453885,True
48,100,0.24,0.88,60,961.5893809557925,9.773736148890777,0.48868680744453885,True
48,100,0.24,0.88,75,1108.195423189154,9.773736148890777,0.48868680744453885,True
48,100,0.24,0.88,90,1254.8014654225158,9.773736148890777,0.48868680744453885,True
48,100,0.24,0.92,30,668.3772964890694,9.773736148890777,0.48868680744453885,True
48,100,0.24,0.92,45,814.9833387224309,9.773736148890777,0.48868680744453885,True
48,100,0.24,0.92,60,961.5893809557925,9.773736148890777,0.48868680744453885,True
48,100,0.24,0.92,75,1108.195423189154,9.773736148890777,0.48868680744453885,True
48,100,0.24,0.92,90,1254.8014654225158,9.773736148890777,0.48868680744453885,True
48,100,0.24,0.96,30,668.3772964890694,9.773736148890777,0.48868680744453885,True
48,100,0.24,0.96,45,814.9833387224309,9.773736148890777,0.48868680744453885,True
48,100,0.24,0.96,60,961.5893809557925,9.773736148890777,0.48868680744453885,True
48,100,0.24,0.96,75,1108.195423189154,9.773736148890777,0.48868680744453885,True
48,100,0.24,0.96,90,1254.8014654225158,9.773736148890777,0.48868680744453885,True
48,100,0.28,0.88,30,664.7790073509356,9.653793177619646,0.48268965888098236,True
48,100,0.28,0.88,45,809.5859050152302,9.653793177619646,0.48268965888098236,True
48,100,0.28,0.88,60,954.392802679525,9.653793177619646,0.48268965888098236,True
48,100,0.28,0.88,75,1099.1997003438196,9.653793177619646,0.48268965888098236,True
48,100,0.28,0.88,90,1244.0065980081142,9.653793177619646,0.48268965888098236,True
48,100,0.28,0.92,30,664.7790073509356,9.653793177619646,0.48268965888098236,True
48,100,0.28,0.92,45,809.5859050152302,9.653793177619646,0.48268965888098236,True
48,100,0.28,0.92,60,954.392802679525,9.653793177619646,0.48268965888098236,True
48,100,0.28,0.92,75,1099.1997003438196,9.653793177619646,0.48268965888098236,True
48,100,0.28,0.92,90,1244.0065980081142,9.653793177619646,0.48268965888098236,True
48,100,0.28,0.96,30,664.7790073509356,9.653793177619646,0.48268965888098236,True
48,100,0.28,0.96,45,809.5859050152302,9.653793177619646,0.48268965888098236,True
48,100,0.28,0.96,60,954.392802679525,9.653793177619646,0.48268965888098236,True
48,100,0.28,0.96,75,1099.1997003438196,9.653793177619646,0.48268965888098236,True
48,100,0.28,0.96,90,1244.0065980081142,9.653793177619646,0.48268965888098236,True
48,125,0.12,0.88,30,693.5653204560064,10.613336947788678,0.5306668473894339,True
48,125,0.12,0.88,45,852.7653746728366,10.613336947788678,0.5306668473894339,True
